_id,data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,tipo,auto,ciclom,moto,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,num_semaforo,sentido_via,descricao,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
564,2020-01-19T00:00:00,20:21:00,SEM VÍTIMA,FINALIZADA,SANTO ANTÔNIO,C SANTA RITA,,,POSTE DE ILUMINAÇÃO PÚBLICA BO 17446 ( POSTE LADO OPOSTO ),SANTO ANTÔNIO,ABALROAMENTO LONGITUDINAL,1,,,,,1,,,,0,,571,CIDADE,ONIBUS X AUTO PASSEIO S/V,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Única,Faixa contínua,Faixa seccionada,
565,2020-01-19T00:00:00,20:45:00,SEM VÍTIMA,FINALIZADA,TORREÃO,RUA DJALMA FARIAS,,RUA PADRE MIGUELINHO,,TORREÃO,ABALROAMENTO TRANSVERSAL,1,,1,,,,,,,0,,,CIDADE,ENTRE AUTO E MOTO. S/V,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Placas Pare,,Dupla,Não existe,,
566,2020-01-19T00:00:00,20:53:00,COM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,,,E/F A EXPOSIÇÃO DE ANIMAIS,CORDEIRO,COLISÃO TRASEIRA,1,,1,,,,,,,1,,235,SUBURBIO,AUTO PASSEIO X MOTO COM VÍTIMA,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,,Dupla,Canteiro central,,
567,2020-01-19T00:00:00,21:06:00,SEM VÍTIMA,CANCELADA,CASA AMARELA,AV NORTE,,,E/F A MATERNIDADE BARROS LIMA,CASA AMARELA,COLISÃO,1,,,,,1,,,,0,,,,ENTRE 2 AUTOS. S/V,,,,,,,,,,,,,
568,2020-01-19T00:00:00,21:41:00,COM VÍTIMA,CANCELADA,ESTÂNCIA,AV DR JOSE RUFINO,,,PRÓX AO COLÉGIO VISÃO E POSTO IPIRANGA / E/F AO POSTO PETROISA,ESTÂNCIA,COLISÃO,1,,1,,,,,,,1,,,,ENTRE AUTO E MOTO. C/V,,,,,,,,,,,,,
569,2020-01-20T00:00:00,07:20:00,COM VÍTIMA,FINALIZADA,TORRE,RUA REAL DA TORRE,1201,,,TORRE,COLISÃO COM CICLISTA,,,1,1,,,,,,1,,108,CIDADE,COLISÃO COM UMA VITIMA AGUARDANDO SAMU,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,Outras,50 km/h,Única,Faixa,,
570,2020-01-20T00:00:00,08:15:00,SEM VÍTIMA,CANCELADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,241 A,RUA JORNALISTA PAULO BITTENCOURT,EM FRENTE AO CERPE,DERBY,COLISÃO,1,,,,,1,,,,0,,,,SEM VITIMAS,,,,,,,,,,,,,
571,2020-01-20T00:00:00,08:24:00,SEM VÍTIMA,FINALIZADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,RUA JORNALISTA PAULO BITTENCOURT,AO LADO DO BRADESCO,DERBY,ABALROAMENTO LONGITUDINAL,1,,,,,1,,,,0,,,CIDADE,COLISÃO S/VITIMAS ENTRE UM AUTO E UM ONIBUS (V.T 05 NO QTH),Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Placas Pare,30 km/h,Dupla,Faixa seccionada,,
572,2020-01-20T00:00:00,08:28:00,SEM VÍTIMA,FINALIZADA,ESPINHEIRO,RUA QUARENTA E OITO,,RUA CONS PORTELA,CRUZAMENTO DAS RUAS,ESPINHEIRO,ABALROAMENTO LONGITUDINAL,1,,,,,1,,,,0,,11,,SEM VITIMAS,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,,Única,Faixa seccionada,,
573,2020-01-20T00:00:00,08:39:00,SEM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,,RUA JEAN EMILE FAVRE,EM FRENTE A PADARIA VILLA DO PÃO,IPSEP,COLISÃO TRASEIRA,3,,,,,,,,,0,,130,,COLISÃO S/VITIMAS ENTRE TRES AUTOS,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,Não há placas,60 km/h,Dupla,Faixa contínua,Faixa seccionada,Canteiro central
574,2020-01-20T00:00:00,09:18:00,SEM VÍTIMA,FINALIZADA,GRAÇAS,RUA ANTONIO NOVAIS,50,,,GRAÇAS,ABALROAMENTO LONGITUDINAL,1,,1,,,,,,,0,,,,COLISÃO S/VITIMAS ENTRE UMA MOTO E UM AUTO,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Única,Não existe,,
575,2020-01-20T00:00:00,09:30:00,COM VÍTIMA,FINALIZADA,CORDEIRO,AV GENERAL SAN MARTIN,,,EM FRENTE AO HOSPITAL GETULIO VARGAS,CORDEIRO,ATROPELAMENTO,,,1,,1,,,,,1,,185,SUBURBIO,COM UMA VITIMA AGUARDANDO SOCORRO/ VT 24 NO LOCAL,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,,,Dupla,Faixa contínua,,
576,2020-01-20T00:00:00,09:35:00,SEM VÍTIMA,FINALIZADA,MADALENA,RUA JOSE MUCIO MONTEIRO,241,,,MADALENA,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,,,COLISAO S/ VITIMA. DOIS VEICULOS,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,,Única,Faixa seccionada,,
577,2020-01-20T00:00:00,10:09:00,SEM VÍTIMA,FINALIZADA,ESPINHEIRO,RUA CONS PORTELA,,RUA QUARENTA E OITO,PRÓX. AO SEMÁFORO 011,ESPINHEIRO,COLISÃO TRASEIRA,1,,,,,1,,,,0,,11,CIDADE,ONIBUS E AUTO GM RODRIGO NO QTH P.O,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Outras,40 km/h,Única,,,
578,2020-01-20T00:00:00,10:11:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,RUA TAMBORIL,18,RUA TIJUCAS,RESTAURANTE JOÃO DA CARNE DE SOL,CORDEIRO,COLISÃO FRONTAL,1,,,,,1,,,,0,,,CIDADE,COLISÃO S/VITIMAS ENTRE DOIS AUTOS,,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,,Placas Pare,,Dupla,Não existe,,
